position,rows,all_changes,any_changes,jaccards
5,500,0.579,2.923,97.585
6,500,0.682,3.067,97.361
7,500,0.807,4.311,96.522
8,500,0.885,4.198,96.505
9,500,0.778,3.952,96.85
10,500,1.0,5.071,95.972
11,500,0.973,5.313,95.762
12,500,1.181,5.839,95.357
13,500,1.019,5.338,95.655
14,500,1.009,5.492,95.56
15,500,1.34,5.82,95.083
16,500,1.273,5.702,95.305
17,500,1.226,5.613,95.287
18,500,1.47,5.937,94.832
19,496,1.709,6.602,94.463
20,491,1.6,6.663,94.362
21,488,1.676,6.537,94.401
22,482,1.516,6.937,94.176
23,474,1.652,7.177,94.129
24,472,1.661,7.384,93.812
25,468,1.763,7.772,93.537
26,464,1.994,9.392,92.361
27,460,2.11,9.386,92.098
28,456,2.067,9.89,91.556
29,446,1.948,9.097,92.33
30,440,2.834,10.763,90.99
31,432,2.39,10.43,91.223
32,425,2.547,10.705,91.129
33,421,2.331,10.171,91.675
34,417,1.886,10.633,91.19
35,410,2.062,10.058,91.554
36,408,2.712,10.706,90.832
37,404,2.743,11.072,90.353
38,398,3.095,12.374,89.28
39,393,3.351,13.922,88.49
40,391,3.683,14.723,87.342
41,390,4.37,16.683,85.368
42,388,3.869,17.322,84.993
43,388,4.707,20.66,82.341
44,385,5.321,21.183,81.03
45,378,7.685,27.681,75.3
46,374,9.094,30.988,73.02
47,368,12.153,38.71,65.465
48,368,17.523,48.693,56.659
49,366,29.204,65.078,40.956
