position,k,rows,not counterfactuals,ndcg,jaccards
11,5,130,90.59,93.743,83.87
12,5,130,89.37,93.0,82.259
13,5,130,89.53,93.426,82.952
14,5,130,89.26,93.359,83.465
15,5,130,89.69,93.263,82.959
16,5,130,89.13,93.046,83.112
17,5,130,90.14,93.542,83.542
18,5,130,88.86,93.273,83.154
19,5,129,89.33,93.381,83.506
20,5,128,90.47,92.512,81.778
21,5,127,91.99,93.424,82.629
22,5,125,91.52,93.217,82.003
23,5,124,91.08,93.007,81.753
24,5,123,89.93,92.196,80.108
25,5,123,90.36,92.149,80.015
26,5,122,89.17,91.384,77.693
27,5,121,88.98,90.865,76.939
28,5,121,87.56,90.209,75.752
29,5,117,87.23,90.183,75.898
30,5,116,86.38,89.094,74.245
31,5,114,88.46,90.344,75.04
32,5,111,88.04,90.235,75.317
33,5,110,87.95,90.11,74.54
34,5,107,88.47,90.383,75.012
35,5,103,88.19,90.083,74.909
36,5,103,87.11,89.43,73.996
37,5,102,86.96,88.949,72.323
38,5,102,86.81,88.756,71.177
39,5,102,83.48,86.92,68.656
40,5,101,83.33,86.591,66.826
41,5,101,81.91,85.647,65.096
42,5,100,80.10,84.484,63.357
43,5,100,79.32,83.346,60.763
44,5,99,75.32,81.615,58.644
45,5,97,72.86,79.487,55.382
46,5,96,71.20,78.431,53.724
47,5,94,64.78,74.599,50.101
48,5,94,56.10,69.575,45.418
49,5,94,43.15,60.156,38.22
