position,k,rows,not counterfactual,ndcg,jaccards
0,5,200,95.50,86.587,100.0
0,10,200,88.50,83.666,100.0
1,5,200,95.06,86.647,87.527
1,10,200,88.28,83.742,72.436
2,5,200,94.96,86.677,86.201
2,10,200,88.11,83.797,70.538
3,5,200,94.97,86.678,86.257
3,10,200,87.95,83.807,71.118
4,5,200,94.94,86.729,86.644
4,10,200,88.00,83.811,72.009
5,5,200,94.66,86.685,87.16
5,10,200,88.53,83.803,71.723
6,5,200,94.95,86.723,86.246
6,10,200,88.55,83.816,70.139
7,5,200,94.96,86.764,85.285
7,10,200,88.05,83.828,68.368
8,5,200,94.98,86.796,84.335
8,10,200,88.29,83.837,68.805
9,5,200,95.36,86.775,84.162
9,10,200,88.03,83.822,67.454
10,5,200,94.48,86.708,82.615
10,10,200,88.18,83.831,66.623
11,5,200,95.24,86.743,82.436
11,10,200,88.09,83.845,66.335
12,5,200,94.41,86.7,81.285
12,10,200,87.94,83.856,65.739
13,5,200,94.86,86.791,81.752
13,10,200,88.26,83.886,65.212
14,5,200,94.70,86.704,82.313
14,10,200,88.32,83.821,66.35
15,5,200,94.53,86.759,81.828
15,10,200,87.99,83.823,66.441
16,5,200,94.82,86.733,82.009
16,10,200,88.41,83.833,67.243
17,5,200,94.53,86.668,82.519
17,10,200,88.65,83.835,67.687
18,5,200,94.99,86.738,81.935
18,10,200,88.65,83.838,66.932
19,5,198,94.68,86.623,82.382
19,10,198,88.27,83.76,67.552
20,5,195,95.24,86.875,81.214
20,10,195,88.61,83.892,66.096
21,5,193,95.09,86.967,81.895
21,10,193,88.74,84.025,66.458
22,5,190,95.58,87.106,81.361
22,10,190,89.11,84.139,66.007
23,5,189,95.51,87.109,81.376
23,10,189,89.33,84.161,66.009
24,5,188,95.33,87.053,79.746
24,10,188,89.38,84.13,64.856
25,5,187,95.35,87.172,79.623
25,10,187,89.31,84.271,64.405
26,5,186,95.21,87.117,76.935
26,10,186,89.44,84.228,62.385
27,5,185,95.06,87.05,76.188
27,10,185,89.01,84.185,61.043
28,5,183,95.01,87.038,75.789
28,10,183,89.03,84.177,60.571
29,5,178,94.98,87.113,75.846
29,10,178,89.31,84.279,60.377
30,5,177,95.05,87.066,74.245
30,10,177,89.02,84.249,58.904
31,5,173,95.82,87.446,75.221
31,10,173,89.62,84.627,59.724
32,5,169,95.48,87.373,75.15
32,10,169,90.20,84.679,59.703
33,5,168,95.98,87.362,74.322
33,10,168,89.80,84.568,59.682
34,5,164,96.23,87.367,74.643
34,10,164,90.16,84.584,59.146
35,5,160,95.86,87.296,74.955
35,10,160,89.69,84.462,58.939
36,5,160,96.15,87.281,73.706
36,10,160,89.61,84.415,58.598
37,5,159,97.06,87.605,71.814
37,10,159,89.81,84.554,56.829
38,5,157,96.84,87.441,71.427
38,10,157,90.15,84.613,56.433
39,5,156,96.23,87.482,68.831
39,10,156,89.39,84.635,54.956
40,5,155,95.94,87.638,67.11
40,10,155,90.14,84.827,54.038
41,5,155,96.19,87.753,65.587
41,10,155,89.52,84.846,52.768
42,5,154,96.05,87.621,63.965
42,10,154,89.25,84.713,52.115
43,5,154,95.79,87.581,61.135
43,10,154,89.40,84.672,50.646
44,5,152,94.52,87.321,59.5
44,10,152,89.20,84.572,49.977
45,5,150,93.28,87.18,55.802
45,10,150,88.98,84.386,48.504
46,5,149,92.56,86.933,54.014
46,10,149,88.41,84.181,47.751
47,5,146,89.91,86.013,50.399
47,10,146,86.74,83.59,45.925
48,5,146,83.58,83.732,45.49
48,10,146,82.38,81.901,43.524
49,5,146,71.99,77.956,38.261
49,10,146,70.18,77.324,38.89
