position,k,rows,jaccards
0,10,500,46.447
1,10,500,46.265
2,10,500,46.201
3,1,500,97.827
3,10,500,46.227
4,1,500,98.073
4,10,500,46.241
5,1,500,98.197
5,10,500,46.27
6,1,500,98.23
6,10,500,46.202
7,1,500,97.213
7,10,500,46.223
8,1,500,97.94
8,10,500,46.214
9,1,500,98.073
9,10,500,46.196
10,1,500,97.553
10,10,500,46.158
11,1,500,97.767
11,10,500,46.151
12,1,500,97.027
12,10,500,46.156
13,1,500,96.92
13,10,500,46.164
14,1,500,97.237
14,10,500,46.15
15,1,500,96.107
15,10,500,46.114
16,1,500,96.857
16,10,500,46.092
17,1,500,95.893
17,10,500,46.106
18,1,500,95.42
18,10,500,45.893
19,1,496,95.296
19,10,496,45.962
20,1,491,94.847
20,10,491,46.002
21,1,488,94.935
21,10,488,45.881
22,1,482,95.453
22,10,482,46.106
23,1,474,94.251
23,10,474,46.118
24,1,472,92.917
24,10,472,46.059
25,1,468,93.465
25,10,468,46.214
26,1,464,93.308
26,10,464,46.23
27,1,460,91.373
27,10,460,46.171
28,1,456,93.067
28,10,456,46.158
29,1,446,94.017
29,10,446,46.347
30,1,440,91.246
30,10,440,46.205
31,1,432,91.956
31,10,432,46.336
32,1,425,91.392
32,10,425,46.432
33,1,421,91.073
33,10,421,46.313
34,1,417,91.986
34,10,417,46.381
35,1,410,91.488
35,10,410,46.344
36,1,408,90.413
36,10,408,46.272
37,1,404,90.276
37,10,404,46.142
38,1,398,90.218
38,10,398,46.059
39,1,393,89.249
39,10,393,46.032
40,1,391,87.308
40,10,391,46.106
41,1,390,84.797
41,10,390,45.645
42,1,388,82.253
42,10,388,45.437
43,1,388,78.645
43,10,388,44.854
44,1,385,76.104
44,10,385,44.119
45,1,378,67.45
45,10,378,43.062
46,1,374,64.111
46,10,374,42.208
47,1,368,56.675
47,10,368,39.669
48,1,368,46.526
48,2,368,43.943
48,10,368,36.207
49,1,366,33.884
49,2,366,34.091
49,10,366,29.229
